"","Packages"
"1","dynlm"
"2","dplyr"
"3","dtplyr"
"4","foreign"
"5","GGally"
"6","ggmap"
"7","gmm"
"8","googleVis"
"9","Hmisc"
"10","knitr"
"11","lmtest"
"12","lubridate"
"13","MASS"
"14","Matrix"
"15","Matching"
"16","mfx"
"17","mlogit"
"18","nlme"
"19","nnet"
"20","plm"
"21","plotly"
"22","plotrix"
"23","plyr"
"24","pscl"
"25","psych"
"26","quantreg"
"27","Rcmdr"
"28","reshape2"
"29","rgl"
"30","rootSolve"
"31","rstudioapi"
"32","sandwich"
"33","sem"
"34","showtext"
"35","snow"
"36","systemfit"
"37","stats4"
"38","stargazer"
"39","strucchange"
"40","survival"
"41","tcltk"
"42","tidyr"
"43","timeDate"
"44","timeSeries"
"45","tis"
"46","VGAM"
"47","XML"
"48","zoo"
"49","np"
"50","pxR"
"51","reshape"
"52","ggplot2"
"53","MNP"
"54","mvtnorm"
"55","foreach"
"56","tmvtnorm"
"57","truncnorm"
"58","MCMCpack"
"59","doParallel"
"60","doMC"
"61","dummies"
"62","numDeriv"
"63","mnlogit"
"64","rgenoud"
"65","AER"
"66","assertthat"
"67","backports"
"68","base"
"69","base64enc"
"70","bdsmatrix"
"71","BH"
"72","bindr"
"73","bindrcpp"
"74","bitops"
"75","bookdown"
"76","bookdownplus"
"77","boot"
"78","brew"
"79","Cairo"
"80","car"
"81","caTools"
"82","cellranger"
"83","class"
"84","cli"
"85","cluster"
"86","codetools"
"87","colorspace"
"88","compiler"
"89","config"
"90","crayon"
"91","crosstalk"
"92","curl"
"93","data.table"
"94","datasets"
"95","debugme"
"96","devtools"
"97","DiagrammeR"
"98","dichromat"
"99","digest"
"100","downloader"
"101","evaluate"
"102","expm"
"103","extrafont"
"104","extrafontdb"
"105","formatR"
"106","Formula"
"107","gdtools"
"108","ggthemes"
"109","ghql"
"110","gistr"
"111","git2r"
"112","glue"
"113","googlesheets"
"114","graphics"
"115","graphql"
"116","grDevices"
"117","grid"
"118","gridExtra"
"119","gtable"
"120","hexbin"
"121","highr"
"122","hms"
"123","htmltools"
"124","htmlwidgets"
"125","httpuv"
"126","httr"
"127","igraph"
"128","influenceR"
"129","irlba"
"130","jsonlite"
"131","kableExtra"
"132","keras"
"133","KernSmooth"
"134","labeling"
"135","lattice"
"136","lazyeval"
"137","lme4"
"138","magrittr"
"139","maps"
"140","markdown"
"141","MatrixModels"
"142","maxLik"
"143","memoise"
"144","methods"
"145","mgcv"
"146","mime"
"147","minqa"
"148","miscTools"
"149","mnormt"
"150","munsell"
"151","networkD3"
"152","nloptr"
"153","nycflights13"
"154","openssl"
"155","packrat"
"156","parallel"
"157","pbkrtest"
"158","pillar"
"159","pinyin"
"160","pkgconfig"
"161","PKI"
"162","plogr"
"163","processx"
"164","pryr"
"165","purrr"
"166","R6"
"167","rbokeh"
"168","RColorBrewer"
"169","Rcpp"
"170","RcppEigen"
"171","RCurl"
"172","readr"
"173","readxl"
"174","rematch"
"175","reticulate"
"176","Rfacebook"
"177","RfacebookHelperFunctions"
"178","rgexf"
"179","rjson"
"180","RJSONIO"
"181","rlang"
"182","rmarkdown"
"183","Rook"
"184","rpart"
"185","rprojroot"
"186","rsconnect"
"187","Rttf2pt1"
"188","rvest"
"189","scales"
"190","selectr"
"191","shiny"
"192","showtextdb"
"193","sourcetools"
"194","SparseM"
"195","spatial"
"196","splines"
"197","stats"
"198","stringi"
"199","stringr"
"200","svglite"
"201","sysfonts"
"202","tensorflow"
"203","tfruns"
"204","tibble"
"205","tidyselect"
"206","tools"
"207","utf8"
"208","utils"
"209","vcd"
"210","viridis"
"211","viridisLite"
"212","visNetwork"
"213","whisker"
"214","withr"
"215","xfun"
"216","xml2"
"217","xtable"
"218","yaml"
"219","zeallot"
"220","SciencesPo"
"221","rcookbook"
"336","prettyunits"
"338","progress"
